pattern_type_id,pattern_boundary_type,pattern_duration_weeks,pattern_height_pct,measured_move_target_pct,reward_risk_ratio,pattern_touches_upper,pattern_touches_lower,breakout_direction,trend_direction_lt,weekly_chart_alignment,breakout_strength_pct,gap_breakout,last_day_rule_stop_pct,oi_change_in_pattern_pct,volume_breakout_vs_avg,news_sentiment_vs_pattern,pattern_obviousness_score,symbol,entry_date,entry_price,breakout_success
6.0,0.0,12.0,75.197,75.197,1.14,1.0,1.0,-1.0,1.0,0.0,-72.369,0.0,65.973,0.0,0.626,0.0,1.0,RELIANCE,2020-06-29 00:00:00,795.2334594726562,0
6.0,0.0,12.0,59.804,59.804,1.194,1.0,1.0,-1.0,1.0,0.0,-64.077,0.0,50.07,0.0,0.608,0.0,1.0,RELIANCE,2020-07-06 00:00:00,854.6054077148438,0
5.0,0.0,12.0,39.954,39.954,13.947,1.0,1.0,1.0,1.0,1.0,-0.348,0.0,2.865,0.0,0.906,0.0,1.0,RELIANCE,2020-07-13 00:00:00,893.002197265625,0
5.0,0.0,12.0,33.7,33.7,8.742,1.0,2.0,1.0,1.0,1.0,-3.391,0.0,3.855,0.0,1.003,0.0,1.0,RELIANCE,2020-07-20 00:00:00,886.0335083007812,0
5.0,0.0,12.0,35.878,35.878,8.715,1.0,1.0,1.0,1.0,1.0,-0.779,0.0,4.117,0.0,2.479,0.0,1.0,RELIANCE,2020-07-27 00:00:00,995.0859375,0
5.0,0.0,12.0,38.982,38.982,56.35,2.0,1.0,1.0,1.0,1.0,-5.99,0.0,0.692,0.0,1.492,0.0,1.0,RELIANCE,2020-08-03 00:00:00,927.1531982421875,0
5.0,0.0,12.0,37.541,37.541,30.697,3.0,1.0,1.0,1.0,1.0,-2.381,0.0,1.223,0.0,0.673,0.0,1.0,RELIANCE,2020-08-10 00:00:00,978.3104248046875,0
9.0,0.0,3.0,9.926,9.926,1.267,3.0,2.0,-1.0,1.0,0.0,-5.677,0.0,7.837,0.0,0.613,0.0,0.293,RELIANCE,2020-08-17 00:00:00,965.15771484375,0
9.0,0.0,4.0,9.926,9.926,1.631,3.0,2.0,-1.0,1.0,0.0,-4.079,0.0,6.087,0.0,0.528,0.0,0.326,RELIANCE,2020-08-24 00:00:00,967.1882934570312,0
9.0,0.0,5.0,9.926,9.926,1.497,3.0,2.0,-1.0,1.0,0.0,-5.794,0.0,6.632,0.0,0.604,0.0,0.34,RELIANCE,2020-08-31 00:00:00,960.2427368164062,0
6.0,0.0,12.0,39.497,39.497,1.322,3.0,1.0,-1.0,1.0,0.0,-33.063,1.0,29.878,0.0,0.6,0.0,1.0,RELIANCE,2020-09-07 00:00:00,961.1426391601562,0
10.0,0.0,2.6,13.832,13.832,46.106,2.0,2.0,1.0,1.0,1.0,-1.075,0.0,0.3,0.0,1.301,0.0,0.449,RELIANCE,2020-09-14 00:00:00,1062.62646484375,0
10.0,0.0,3.6,14.954,14.954,49.847,2.0,2.0,1.0,1.0,1.0,-2.686,0.0,0.3,0.0,0.785,0.0,0.518,RELIANCE,2020-09-21 00:00:00,1041.074462890625,0
10.0,0.0,4.6,14.954,14.954,48.523,2.0,2.0,1.0,1.0,1.0,-7.076,0.0,0.308,0.0,0.703,0.0,0.512,RELIANCE,2020-09-28 00:00:00,1022.7990112304688,0
7.0,0.0,1.2,13.774,13.774,45.913,1.0,1.0,1.0,1.0,1.0,-5.661,0.0,0.3,0.0,0.389,0.0,0.431,RELIANCE,2020-10-06 00:00:00,1020.076171875,0
13.0,1.0,5.0,13.721,13.721,2.272,2.0,1.0,1.0,0.0,0.0,-5.584,0.0,6.04,0.0,0.407,0.0,0.562,RELIANCE,2020-10-13 00:00:00,1052.542724609375,0
13.0,1.0,6.0,13.721,13.721,1.518,2.0,1.0,1.0,0.0,0.0,-8.152,0.0,9.04,0.0,0.94,0.0,0.551,RELIANCE,2020-10-20 00:00:00,994.947509765625,0
13.0,1.0,7.0,17.163,17.163,6.081,2.0,1.0,-1.0,0.0,0.0,-0.525,0.0,2.823,0.0,1.146,0.0,0.594,RELIANCE,2020-10-27 00:00:00,938.9214477539062,0
13.0,1.0,8.0,24.958,24.958,83.193,2.0,1.0,-1.0,0.0,0.0,-0.984,0.0,0.3,0.0,2.9,0.0,0.838,RELIANCE,2020-11-03 00:00:00,853.9592895507812,0
6.0,0.0,12.0,26.052,26.052,29.194,2.0,2.0,-1.0,0.0,0.0,-11.749,0.0,0.892,0.0,0.993,0.0,0.928,RELIANCE,2020-11-10 00:00:00,962.0194702148438,0
6.0,0.0,12.0,26.682,26.682,41.096,2.0,2.0,-1.0,0.0,0.0,-9.111,0.0,0.649,0.0,0.142,0.0,0.906,RELIANCE,2020-11-17 00:00:00,919.884521484375,0
