Strategy,Symbol,Trades,WinRate%,Return%,Sharpe,ProfitFactor,MaxDD%,AvgDailyRet%,5%-Days,Expectancy
OpeningRangeBreakout,RELIANCE.NS,8,62.5,2.17,6.81,2.36,-1.36,0.162,0,271.5
VWAPMomentumScalp,RELIANCE.NS,3,0.0,-9.49,-9.26,0.0,-9.5,-0.889,0,-3162.2
GapAndGo,RELIANCE.NS,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
SupertrendEMAScalp,RELIANCE.NS,17,35.3,-11.73,-11.47,0.15,-12.36,-1.367,0,-689.8
RSIDivergenceReversal,RELIANCE.NS,7,42.9,-1.45,-7.05,0.2,-1.95,-0.214,0,-207.6
VolumeBreakout,RELIANCE.NS,6,50.0,1.66,3.84,1.57,-2.89,-0.002,0,276.5
MasterConfluence,RELIANCE.NS,29,31.0,-21.85,-14.08,0.31,-21.89,-2.472,0,-753.5
SymmetricalTriangle,RELIANCE.NS,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
AscendingTriangle,RELIANCE.NS,8,12.5,-10.84,-11.8,0.03,-11.17,-1.248,0,-1355.6
RisingWedgeShort,RELIANCE.NS,4,75.0,3.89,6.94,9.59,-2.01,0.289,0,972.5
DoubleTopMinor,RELIANCE.NS,8,37.5,0.62,1.0,1.12,-5.51,0.152,0,77.4
OpeningRangeBreakout,TATASTEEL.NS,5,40.0,-1.99,-6.9,0.28,-1.99,-0.25,0,-398.5
VWAPMomentumScalp,TATASTEEL.NS,1,100.0,4.94,5.6,4939.22,-2.79,0.617,0,4939.2
GapAndGo,TATASTEEL.NS,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
SupertrendEMAScalp,TATASTEEL.NS,16,31.2,-9.18,-8.69,0.24,-10.56,-1.186,0,-573.8
RSIDivergenceReversal,TATASTEEL.NS,4,50.0,-1.21,-6.14,0.22,-1.64,-0.099,0,-301.9
VolumeBreakout,TATASTEEL.NS,7,28.6,-4.36,-11.78,0.13,-4.95,-0.397,0,-623.4
MasterConfluence,TATASTEEL.NS,28,21.4,-23.61,-14.35,0.23,-24.12,-2.592,0,-843.3
SymmetricalTriangle,TATASTEEL.NS,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
AscendingTriangle,TATASTEEL.NS,8,12.5,-10.3,-8.75,0.2,-12.6,-1.287,0,-1287.3
RisingWedgeShort,TATASTEEL.NS,8,50.0,2.61,3.32,2.39,-2.68,0.245,0,326.3
DoubleTopMinor,TATASTEEL.NS,7,42.9,-0.19,0.21,0.92,-10.37,0.008,0,-27.6
OpeningRangeBreakout,ETERNAL.NS,9,66.7,-0.94,-2.12,0.7,-2.44,-0.132,0,-104.7
VWAPMomentumScalp,ETERNAL.NS,1,0.0,-2.05,-6.6,0.0,-2.05,0.0,0,-2046.8
GapAndGo,ETERNAL.NS,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
SupertrendEMAScalp,ETERNAL.NS,21,42.9,-13.36,-13.87,0.26,-14.36,-1.864,0,-636.3
RSIDivergenceReversal,ETERNAL.NS,8,25.0,-1.33,-4.6,0.53,-2.24,-0.217,0,-166.1
VolumeBreakout,ETERNAL.NS,7,85.7,3.07,8.74,87.52,-0.6,0.071,0,439.0
MasterConfluence,ETERNAL.NS,27,40.7,-8.53,-4.7,0.66,-12.52,-1.57,0,-316.0
SymmetricalTriangle,ETERNAL.NS,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
AscendingTriangle,ETERNAL.NS,12,50.0,-4.19,-3.2,0.67,-11.19,-1.166,0,-349.1
RisingWedgeShort,ETERNAL.NS,5,40.0,-3.29,-6.03,0.33,-4.23,-0.238,0,-657.3
DoubleTopMinor,ETERNAL.NS,6,66.7,0.94,1.99,1.62,-2.49,0.093,0,156.3
OpeningRangeBreakout,ADANIENT.NS,10,30.0,-2.76,-5.82,0.38,-3.4,-0.08,0,-276.2
VWAPMomentumScalp,ADANIENT.NS,2,0.0,-3.59,-6.93,0.0,-3.92,-0.453,0,-1794.0
GapAndGo,ADANIENT.NS,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
SupertrendEMAScalp,ADANIENT.NS,15,33.3,-5.83,-6.7,0.43,-7.01,-0.662,0,-388.5
RSIDivergenceReversal,ADANIENT.NS,8,50.0,-0.58,-1.3,0.79,-1.74,-0.051,0,-72.7
VolumeBreakout,ADANIENT.NS,6,33.3,-1.02,-2.35,0.69,-2.44,0.085,0,-169.8
MasterConfluence,ADANIENT.NS,30,26.7,-15.19,-10.14,0.48,-17.28,-1.277,0,-506.4
SymmetricalTriangle,ADANIENT.NS,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
AscendingTriangle,ADANIENT.NS,7,28.6,-6.77,-6.93,0.25,-8.13,-0.744,0,-966.8
RisingWedgeShort,ADANIENT.NS,6,50.0,-2.29,-2.97,0.52,-4.32,-0.087,0,-382.3
DoubleTopMinor,ADANIENT.NS,5,20.0,-0.29,-0.61,0.8,-1.84,0.028,0,-58.7
OpeningRangeBreakout,SUZLON.NS,7,28.6,-3.7,-10.58,0.18,-4.91,-0.341,0,-529.1
VWAPMomentumScalp,SUZLON.NS,1,0.0,-2.15,-2.45,0.0,-5.04,-0.269,0,-2152.8
GapAndGo,SUZLON.NS,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
SupertrendEMAScalp,SUZLON.NS,17,52.9,-3.26,-2.71,0.7,-6.28,-0.442,0,-191.7
RSIDivergenceReversal,SUZLON.NS,3,33.3,-1.5,-6.6,0.11,-2.07,-0.211,0,-500.3
VolumeBreakout,SUZLON.NS,3,33.3,-2.27,-5.67,0.06,-3.68,-0.284,0,-755.9
MasterConfluence,SUZLON.NS,29,41.4,-11.5,-5.93,0.53,-12.82,-0.902,0,-396.7
SymmetricalTriangle,SUZLON.NS,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
AscendingTriangle,SUZLON.NS,6,33.3,-3.93,-4.16,0.31,-7.56,-0.489,0,-655.7
RisingWedgeShort,SUZLON.NS,4,50.0,0.33,0.57,1.12,-2.33,0.223,0,82.7
DoubleTopMinor,SUZLON.NS,6,50.0,-3.1,-5.47,0.29,-4.44,-0.381,0,-515.9
